DR_NO,AREA,AREA NAME,Rpt Dist No,LOCATION,Cross Street,LAT,LON,,,,,,,,,,,,,,,,
211217027,12,77th Street,1241,6000 BRYNHURST AV,,33.9829,-118.3338,,,,,,,,,,,,,,,,
211819028,18,Southeast,1821,10000 S FIGUEROA ST,,33.9467,-118.2871,,,,,,,,,,,,,,,,
210106256,1,Central,157,6TH ST,TOWNE,34.0412,-118.2436,,,,,,,,,,,,,,,,
210306547,3,Southwest,394,4100 3RD AV,,34.0103,-118.3204,,,,,,,,,,,,,,,,
211515132,15,N Hollywood,1525,6400 GENTRY AV,,34.1876,-118.3933,,,,,,,,,,,,,,,,
212009589,20,Olympic,2049,5TH,SERRANO,34.0564,-118.2879,,,,,,,,,,,,,,,,
210704257,7,Wilshire,765,PICO BL,SAN VICENTE,34.0485,-118.3393,,,,,,,,,,,,,,,,
210712249,7,Wilshire,759,1100 S BRONSON AV,,34.0495,-118.3215,,,,,,,,,,,,,,,,
210413976,4,Hollenbeck,402,4700 GRIFFIN AV,,34.0895,-118.2059,,,,,,,,,,,,,,,,
211205562,12,77th Street,1207,800 W 50TH PL,,33.997,-118.2873,,,,,,,,,,,,,,,,
211222903,12,77th Street,1235,1400 W SLAUSON AV,,33.9891,-118.301,,,,,,,,,,,,,,,,
210810857,8,West LA,851,1500 S BUNDY DR,,34.0402,-118.4629,,,,,,,,,,,,,,,,
210311909,3,Southwest,361,4000 URSULA AV,,34.0127,-118.3525,,,,,,,,,,,,,,,,
211806221,18,Southeast,1802,8600 S FIGUEROA ST,,33.9596,-118.2827,,,,,,,,,,,,,,,,
210412785,4,Hollenbeck,466,100 N SOTO ST,,34.0438,-118.2098,,,,,,,,,,,,,,,,
210409868,4,Hollenbeck,457,2900 E CESAR E CHAVEZ AV,,34.0469,-118.2032,,,,,,,,,,,,,,,,
211213770,12,77th Street,1239,6100 S FIGUEROA ST,,33.9837,-118.2827,,,,,,,,,,,,,,,,
210710418,7,Wilshire,713,7500 BEVERLY BL,,34.0782,-118.3573,,,,,,,,,,,,,,,,
210708829,7,Wilshire,711,300 N LA CIENEGA BL,,34.0761,-118.3766,,,,,,,,,,,,,,,,
211612043,16,Foothill,1684,8000 WEBB AV,,34.2162,-118.3882,,,,,,,,,,,,,,,,
211300944,13,Newton,1333,700 E 27TH ST,,34.0199,-118.2601,,,,,,,,,,,,,,,,
210112766,1,Central,162,FIGUEROA ST,8TH ST,34.0476,-118.2612,,,,,,,,,,,,,,,,
211319643,13,Newton,1371,SLAUSON AV,BROADWAY,33.9892,-118.2783,,,,,,,,,,,,,,,,
210619307,6,Hollywood,643,7100 HOLLYWOOD BL,,34.1016,-118.3458,,,,,,,,,,,,,,,,
211711915,17,Devonshire,1796,FORBES,PARTHENIA,34.2285,-118.5,,,,,,,,,,,,,,,,
211319363,13,Newton,1393,MAIN ST,68TH ST,33.9779,-118.2739,,,,,,,,,,,,,,,,
211014068,10,West Valley,1063,18300 VENTURA BL,,34.1682,-118.5406,,,,,,,,,,,,,,,,
211320045,13,Newton,1367,VERNON AV,STANTON AV,33.9993,-118.2432,,,,,,,,,,,,,,,,
210515018,5,Harbor,564,7TH ST,MESA ST,33.7379,-118.2857,,,,,,,,,,,,,,,,
212108852,21,Topanga,2175,MARIANO,PONCE,34.1683,-118.6211,,,,,,,,,,,,,,,,
210208870,2,Rampart,245,600 S CARONDELET ST,,34.0609,-118.28,,,,,,,,,,,,,,,,
210712450,7,Wilshire,785,2100 S RIMPAU BL,,34.0357,-118.3455,,,,,,,,,,,,,,,,
211822055,18,Southeast,1801,8700 MENLO AV,,33.9596,-118.2904,,,,,,,,,,,,,,,,
211506539,15,N Hollywood,1526,TROOST AV,HAMLIN ST,34.1885,-118.3865,,,,,,,,,,,,,,,,
210211447,2,Rampart,248,300 COLUMBIA AV,,34.0572,-118.2658,,,,,,,,,,,,,,,,
210214659,2,Rampart,266,8TH,UNION,34.0524,-118.2722,,,,,,,,,,,,,,,,
210607172,6,Hollywood,666,IVAR,SUNSET,34.098,-118.3288,,,,,,,,,,,,,,,,
210512693,5,Harbor,589,2800 VIA CABRILLO MARINA,,33.7175,-118.2826,,,,,,,,,,,,,,,,
211606323,16,Foothill,1602,12700 VAN NUYS BL,,34.2816,-118.4073,,,,,,,,,,,,,,,,
210319535,3,Southwest,357,3700 W 37TH ST,,34.021,-118.2933,,,,,,,,,,,,,,,,
211409079,14,Pacific,1446,4100 GRAND VIEW BL,,33.9988,-118.4265,,,,,,,,,,,,,,,,
210400534,4,Hollenbeck,411,AVENUE 21,HUMBOLDT,34.0775,-118.2218,,,,,,,,,,,,,,,,
211224393,12,77th Street,1208,600 W VERNON AV,,34.0037,-118.284,,,,,,,,,,,,,,,,
210904705,9,Van Nuys,904,7300 KESTER AV,,34.2084,-118.4599,,,,,,,,,,,,,,,,
211109052,11,Northeast,1126,5500 YORK BL,,34.1197,-118.1982,,,,,,,,,,,,,,,,
211206313,12,77th Street,1239,6000 S VERMONT AV,,33.9856,-118.2915,,,,,,,,,,,,,,,,
210607020,6,Hollywood,632,8100 GOULD AV,,34.1058,-118.3721,,,,,,,,,,,,,,,,
210115701,1,Central,157,500 S SAN PEDRO ST,,34.0438,-118.2441,,,,,,,,,,,,,,,,
210207583,2,Rampart,269,700 GARLAND AV,,34.0496,-118.2677,,,,,,,,,,,,,,,,
211811943,18,Southeast,1837,WILMINGTON AV,IMPERIAL HY,33.9295,-118.2391,,,,,,,,,,,,,,,,
210207582,2,Rampart,269,700 GARLAND AV,,34.0496,-118.2677,,,,,,,,,,,,,,,,
210411261,4,Hollenbeck,462,BOYLE AV,HOLLENBECK DR,34.0378,-118.2194,,,,,,,,,,,,,,,,
210305218,3,Southwest,394,4300 ARLINGTON AV,,34.0052,-118.3182,,,,,,,,,,,,,,,,
210111437,1,Central,174,700 S SPRING ST,,34.044,-118.2528,,,,,,,,,,,,,,,,
210604337,6,Hollywood,657,5500 SIERRA VISTA AV,,34.0895,-118.3136,,,,,,,,,,,,,,,,
211306451,13,Newton,1373,TOWNE AV,52ND ST,33.9925,-118.2608,,,,,,,,,,,,,,,,
210611832,6,Hollywood,625,FRANKLIN,HIGHLAND,34.1052,-118.337,,,,,,,,,,,,,,,,
210215354,2,Rampart,256,6TH,BURLINGTON,34.058,-118.2715,,,,,,,,,,,,,,,,
211815256,18,Southeast,1842,100 W IMPERIAL HY,,33.9347,-118.2761,,,,,,,,,,,,,,,,
211211239,12,77th Street,1249,FIGUEROA ST,69TH ST,33.9774,-118.2827,,,,,,,,,,,,,,,,
211614741,16,Foothill,1633,FOOTHILL,OSBORNE,34.2739,-118.3944,,,,,,,,,,,,,,,,
210507267,5,Harbor,528,WATSON AV,DENNI ST,33.7854,-118.2477,,,,,,,,,,,,,,,,
211218723,12,77th Street,1259,AVALON BL,E 78TH ST,33.9684,-118.2652,,,,,,,,,,,,,,,,
211507019,15,N Hollywood,1538,5700 CASE AV,,34.174,-118.3719,,,,,,,,,,,,,,,,
211300793,13,Newton,1371,5300 S BROADWAY,,33.9939,-118.2783,,,,,,,,,,,,,,,,
211812011,18,Southeast,1821,COLDEN AV,VERMONT,33.9491,-118.2916,,,,,,,,,,,,,,,,
210404858,4,Hollenbeck,451,HOLLYWOOD FY,MISSION,34.0499,-118.226,,,,,,,,,,,,,,,,
211219843,12,77th Street,1263,2100 W MANCHESTER AV,,33.9636,-118.3112,,,,,,,,,,,,,,,,
210405928,4,Hollenbeck,437,4700 VALLEY BL,,34.0689,-118.1878,,,,,,,,,,,,,,,,
211214369,12,77th Street,1259,800 E 76TH ST,,33.9712,-118.2608,,,,,,,,,,,,,,,,
211213385,12,77th Street,1251,CRENSHAW,FLORENCE,33.9745,-118.3309,,,,,,,,,,,,,,,,
210108590,1,Central,156,400 E 6TH ST,,34.0437,-118.2455,,,,,,,,,,,,,,,,
211115520,11,Northeast,1162,SANTA MONICA,VERMONT,34.0909,-118.2917,,,,,,,,,,,,,,,,
211205797,12,77th Street,1208,700 W 49TH PL,,33.998,-118.2842,,,,,,,,,,,,,,,,
211610311,16,Foothill,1623,13000 CARL ST,,34.2686,-118.4161,,,,,,,,,,,,,,,998,
211016023,10,West Valley,1004,ROSCOE BL,CREBS AV,34.2146,-118.5317,,,,,,,,,,,,,,,,
211709175,17,Devonshire,1768,LASSEN,WHITE OAK,34.2504,-118.5198,,,,,,,,,,,,,,,,
211900520,19,Mission,1995,7800 VAN NUYS BL,,34.2117,-118.4488,,,,,,,,,,,,,,,,
210104904,1,Central,192,1400 S GRAND AV,,34.0369,-118.2655,,,,,,,,,,,,,,,,
211320906,13,Newton,1331,31ST ST,MAIN ST,34.021,-118.2712,,,,,,,,,,,,,,,,
211315487,13,Newton,1375,1400 E 58TH ST,,33.9902,-118.2483,,,,,,,,,,,,,,,,
210115819,1,Central,162,9TH,HOPE,34.0455,-118.2609,,,,,,,,,,,,,,,,
211604763,16,Foothill,1621,WEIDNER ST,REMICK AV,34.262,-118.4385,,,,,,,,,,,,,,,,
211604869,16,Foothill,1663,9400 SAN FERNANDO RD,,34.24,-118.3945,,,,,,,,,,,,,,,,
211006771,10,West Valley,1041,5900 JULIAN LN,,34.1776,-118.5541,,,,,,,,,,,,,,,,
211811475,18,Southeast,1827,9300 GRAPE ST,,33.9513,-118.2363,,,,,,,,,,,,,,,,
210119723,1,Central,155,5TH,WALL,34.0449,-118.2459,,,,,,,,,,,,,,,,
211814739,18,Southeast,1802,300 W 91ST ST,,33.9543,-118.2788,,,,,,,,,,,,,,,,
211910337,19,Mission,1985,14600 PARTHENIA ST,,34.2271,-118.4503,,,,,,,,,,,,,,,,
210711605,7,Wilshire,762,SATURN ST,HAYWORTH AV,34.0499,-118.368,,,,,,,,,,,,,,,,
211306760,13,Newton,1342,400 E 36TH ST,,34.0147,-118.2685,,,,,,,,,,,,,,,,
211907039,19,Mission,1977,13300 BRANFORD ST,,34.2338,-118.4301,,,,,,,,,,,,,,,,
212115159,21,Topanga,2144,6300 FALLBROOK AV,,34.1885,-118.619,,,,,,,,,,,,,,,,
212016379,20,Olympic,2056,PICO,MENLO,34.0509,-118.2937,,,,,,,,,,,,,,,,
201913576,19,Mission,1916,14300 ASTORIA ST,,34.3062,-118.4448,,,,,,,,,,,,,,,,
212110068,21,Topanga,2158,6200 CANOGA AV,,34.1828,-118.5974,,,,,,,,,,,,,,,,
211214458,12,77th Street,1253,1800 W FLORENCE AV,,33.9746,-118.3096,,,,,,,,,,,,,,,,
212014900,20,Olympic,2026,3RD ST,KENMORE AV,34.069,-118.2967,,,,,,,,,,,,,,,,
211706201,17,Devonshire,1721,22300 DEVONSHIRE ST,,34.2572,-118.6125,,,,,,,,,,,,,,,,
211113917,11,Northeast,1127,YORK BL,ALDAMA ST,34.1182,-118.1902,,,,,,,,,,,,,,,,
211809546,18,Southeast,1802,MAIN ST,88TH ST,33.9572,-118.2739,,,,,,,,,,,,,,,,
211225587,12,77th Street,1273,2100 W MANCHESTER AV,,33.96,-118.3164,,,,,,,,,,,,,,,,
211219039,12,77th Street,1239,700 W 60TH ST,,33.9851,-118.2856,,,,,,,,,,,,,,,,
211910540,19,Mission,1969,OSBORNE,ARLETA,34.2421,-118.4261,,,,,,,,,,,,,,,,
211210026,12,77th Street,1203,48TH ST,WESTERN,34.0001,-118.3089,,,,,,,,,,,,,,,,
211110614,11,Northeast,1105,5200 LIVE OAK VIEW AV,,34.1417,-118.222,,,,,,,,,,,,,,,,
211411864,14,Pacific,1443,1100 NELROSE AV,,33.9934,-118.4515,,,,,,,,,,,,,,,,
211713130,17,Devonshire,1785,18600 EDDY ST,,34.2301,-118.5393,,,,,,,,,,,,,,,,
211100620,11,Northeast,1137,AVENUE 54,MONTE VISTA,34.1109,-118.2016,,,,,,,,,,,,,,,,
211320648,13,Newton,1321,1900 S FIGUEROA ST,,34.0338,-118.2724,,,,,,,,,,,,,,,,
211006237,10,West Valley,1033,VANALDEN AV,VICTORY BL,34.1866,-118.5491,,,,,,,,,,,,,,,,
211511364,15,N Hollywood,1516,6600 LEMP AV,,34.1903,-118.3845,,,,,,,,,,,,,,,,
211800751,18,Southeast,1832,400 W 106TH ST,,33.9401,-118.2805,,,,,,,,,,,,,,,,
211500543,15,N Hollywood,1585,10800 VENTURA BL,,34.143,-118.3727,,,,,,,,,,,,,,,,
210414073,4,Hollenbeck,497,SOTO ST,OLYMPIC BL,34.024,-118.2198,,,,,,,,,,,,,,,,
211222118,12,77th Street,1257,77TH ST,HOOVER ST,33.9698,-118.2871,,,,,,,,,,,,,,,,
211911477,19,Mission,1985,8600 TILDEN AV,,34.2263,-118.4476,,,,,,,,,,,,,,,,
211315072,13,Newton,1363,700 E 49TH ST,,33.9986,-118.2632,,,,,,,,,,,,,,,,
211408486,14,Pacific,1415,LINCOLN,ROSE,34.0011,-118.4673,,,,,,,,,,,,,,,,
211304154,13,Newton,1363,900 E 47TH ST,,34.0008,-118.26,,,,,,,,,,,,,,,,
210506040,5,Harbor,529,200 LAKME AV,,33.7722,-118.2593,,,,,,,,,,,,,,,,
210604816,6,Hollywood,645,HOLLYWOOD,HIGHLAND,34.1016,-118.3387,,,,,,,,,,,,,,,,
210212084,2,Rampart,299,1600 OAK ST,,34.0389,-118.2762,,,,,,,,,,,,,,,,
211314591,13,Newton,1367,ALAMEDA,VERNON AV,34.0039,-118.2392,,,,,,,,,,,,,,,,
210608887,6,Hollywood,648,5700 CARLTON WY,,34.1005,-118.3141,,,,,,,,,,,,,,,,
212010041,20,Olympic,2024,WILSHIRE,NORMANDIE,34.0617,-118.3005,,,,,,,,,,,,,,,,
211417479,14,Pacific,1499,11500 AVIATION BL,,33.93,-118.3784,,,,,,,,,,,,,,,,
211110436,11,Northeast,1173,2000 ECHO PARK AV,,34.0916,-118.2539,,,,,,,,,,,,,,,,
212109917,21,Topanga,2107,PARTHENIA ST,CANOGA AV,34.2282,-118.597,,,,,,,,,,,,,,,,
210612239,6,Hollywood,643,SUNSET BL,FULLER AV,34.098,-118.3496,,,,,,,,,,,,,,,,
210611252,6,Hollywood,646,HOLLYWOOD BL,SUNSET BL,34.0987,-118.3337,,,,,,,,,,,,,,,,
210215899,2,Rampart,217,ROSS LOOS,BONNIE BRAE,34.071,-118.2656,,,,,,,,,,,,,,,,
211219168,12,77th Street,1207,53RD ST,VERMONT AV,33.9995,-118.2893,,,,,,,,,,,,,,,,
211820598,18,Southeast,1802,100 W 86TH PL,,33.9593,-118.2783,,,,,,,,,,,,,,,,
210505649,5,Harbor,525,200 N FRIES AV,,33.7712,-118.2644,,,,,,,,,,,,,,,,
210114873,1,Central,153,200 W 6TH ST,,34.046,-118.251,,,,,,,,,,,,,,,,
211419245,14,Pacific,1474,8500 LINCOLN BL,,33.9599,-118.4193,,,,,,,,,,,,,,,,
210114166,1,Central,174,700 S MAIN ST,,34.0437,-118.2518,,,,,,,,,,,,,,,,
210314960,3,Southwest,313,10TH AV,ADAMS BL,34.0326,-118.3284,,,,,,,,,,,,,,,,
211811559,18,Southeast,1829,10000 GRAPE ST,,33.9456,-118.2323,,,,,,,,,,,,,,,,
211310323,13,Newton,1344,4100 AVALON BL,,34.0089,-118.2653,,,,,,,,,,,,,,,,
211314716,13,Newton,1325,CENTRAL,27TH ST,34.0178,-118.2554,,,,,,,,,,,,,,,,
211804448,18,Southeast,1891,16700 S FIGUEROA ST,,33.8795,-118.2825,,,,,,,,,,,,,,,,
210314050,3,Southwest,333,2900 S VICTORIA AV,,34.0276,-118.3364,,,,,,,,,,,,,,,,
211307773,13,Newton,1317,WASHINGTON BL,LONG BEACH BL,34.0206,-118.2432,,,,,,,,,,,,,,,,
211010876,10,West Valley,1035,DARBY AV,VANOWEN,34.1938,-118.5335,,,,,,,,,,,,,,,,
210300527,3,Southwest,375,1700 W MARTIN LUTHER KING JR BL,,34.0146,-118.313,,,,,,,,,,,,,,,,
211224231,12,77th Street,1251,3500 W FLORENCE AV,,33.9745,-118.3335,,,,,,,,,,,,,,,,
210112167,1,Central,192,1600 S HOPE ST,,34.036,-118.268,,,,,,,,,,,,,,,,
211307024,13,Newton,1343,43RD ST,AVALON BL,34.0114,-118.2624,,,,,,,,,,,,,,,,
211817230,18,Southeast,1864,12000 S CENTRAL AV,,33.9231,-118.2544,,,,,,,,,,,,,,,,
210115524,1,Central,156,5TH ST,SAN JULIAN,34.0446,-118.245,,,,,,,,,,,,,,,,
210306486,3,Southwest,363,4100 SOMERSET DR,,34.0112,-118.3415,,,,,,,,,,,,,,,,
210122089,1,Central,162,700 W 9TH ST,,34.0462,-118.2585,,,,,,,,,,,,,,,,
211810404,18,Southeast,1832,106TH ST,GRAND AV,33.9401,-118.2805,,,,,,,,,,,,,,,,
210400645,4,Hollenbeck,459,3000 E CESAR E CHAVEZ AV,,34.045,-118.1956,,,,,,,,,,,,,,,,
210408886,4,Hollenbeck,451,ALISO,MISSION,34.0524,-118.2268,,,,,,,,,,,,,,,,
211313598,13,Newton,1323,23RD ST,CENTRAL AV,34.0213,-118.2535,,,,,,,,,,,,,,,,
210106114,1,Central,182,1200 S FLOWER ST,,34.0409,-118.2661,,,,,,,,,,,,,,,,
210305619,3,Southwest,311,3300 S LA CIENEGA BL,,34.0272,-118.372,,,,,,,,,,,,,,,,
210413431,4,Hollenbeck,478,LORENA AV,60 FY,34.0285,-118.2031,,,,,,,,,,,,,,,,
210612451,6,Hollywood,648,CARLTON WY,ST ANDREWS PL,34.1005,-118.3115,,,,,,,,,,,,,,,,
211313134,13,Newton,1323,2300 GRIFFITH AV,,34.022,-118.2562,,,,,,,,,,,,,,,,
210213592,2,Rampart,265,700 S WESTLAKE AV,,34.0557,-118.2758,,,,,,,,,,,,,,,,
212012888,20,Olympic,2076,1800 S VERMONT AV,,34.0436,-118.296,,,,,,,,,,,,,,,,
212018241,20,Olympic,2014,4000 W 3RD ST,,34.0726,-118.3029,,,,,,,,,,,,,,,,
210311364,3,Southwest,361,3900 URSULA AV,,34.0158,-118.3524,,,,,,,,,,,,,,,,
211006930,10,West Valley,1033,6400 RESEDA BL,,34.1847,-118.5441,,,,,,,,,,,,,,,,
211100733,11,Northeast,1137,300 N AVENUE 51,,34.1078,-118.2024,,,,,,,,,,,,,,,,
210708272,7,Wilshire,767,4000 VENICE BL,,34.0457,-118.3255,,,,,,,,,,,,,,,,
210607673,6,Hollywood,648,VAN NESS,SUNSET,34.1,-118.3113,,,,,,,,,,,,,,,,
210106894,1,Central,152,600 S FIGUEROA ST,,34.0505,-118.2588,,,,,,,,,,,,,,,,
211506208,15,N Hollywood,1599,3500 CAHUENGA BL,,34.1329,-118.3559,,,,,,,,,,,,,,,,
211807007,18,Southeast,1802,8700 S BROADWAY,,33.9583,-118.2782,,,,,,,,,,,,,,,,
212001054,20,Olympic,2033,WESTERN,7TH ST,34.0597,-118.3091,,,,,,,,,,,,,,,,
211207594,12,77th Street,1268,200 W 84TH PL,,33.9624,-118.2761,,,,,,,,,,,,,,,,
211204071,12,77th Street,1241,6500 WEST BL,,33.9802,-118.3352,,,,,,,,,,,,,,,,
211212321,12,77th Street,1273,9100 S WESTERN AV,,33.9539,-118.309,,,,,,,,,,,,,,,,
210209328,2,Rampart,265,JAMES M WOOD,WESTLAKE,34.0529,-118.2776,,,,,,,,,,,,,,,,
211811815,18,Southeast,1823,CENTURY BL,AVALON BL,33.9456,-118.2652,,,,,,,,,,,,,,,,
210205309,2,Rampart,265,7TH ST,WESTLAKE AV,34.0559,-118.2756,,,,,,,,,,,,,,,,
210917947,9,Van Nuys,989,13500 MOORPARK ST,,34.1504,-118.4274,,,,,,,,,,,,,,,,
211908703,19,Mission,1917,14000 FOOTHILL BL,,34.3138,-118.4385,,,,,,,,,,,,,,,,
212015239,20,Olympic,2091,2300 W 21ST ST,,34.0381,-118.314,,,,,,,,,,,,,,,,
211509284,15,N Hollywood,1599,3700 CAHUENGA BL,,34.135,-118.3611,,,,,,,,,,,,,,,,
210908969,9,Van Nuys,904,7800 BURNET AV,,34.2121,-118.4629,,,,,,,,,,,,,,,,
211811207,18,Southeast,1806,CENTRAL,92ND ST,33.9533,-118.2564,,,,,,,,,,,,,,,,
210319548,3,Southwest,351,5000 OBAMA BL,,34.0215,-118.3525,,,,,,,,,,,,,,,,
210716380,7,Wilshire,782,WASHINGTON,SANTA MONICA HY,34.0351,-118.3681,,,,,,,,,,,,,,,,
211813366,18,Southeast,1804,88TH PL,CENTRAL AV,33.9565,-118.2564,,,,,,,,,,,,,,,,
210110617,1,Central,176,9TH,SAN JULIAN,34.0381,-118.2512,,,,,,,,,,,,,,,,
210517222,5,Harbor,555,8TH ST,GAFFEY ST,33.7483,-118.2931,,,,,,,,,,,,,,,,
210517347,5,Harbor,585,600 W 22ND ST,,33.7243,-118.2907,,,,,,,,,,,,,,,,
211212910,12,77th Street,1205,1300 W 51ST ST,,33.9969,-118.2996,,,,,,,,,,,,,,,,
210306579,3,Southwest,305,WEST BL,N ADAMS BL,34.0326,-118.341,,,,,,,,,,,,,,,,
211015792,10,West Valley,1023,RESEDA BL,ERWIN ST,34.1944,-118.5486,,,,,,,,,,,,,,,,
210114395,1,Central,158,6TH,KOHLER,34.0398,-118.2413,,,,,,,,,,,,,,,,
211222465,12,77th Street,1239,5800 ESTRELLA AV,,33.9875,-118.2849,,,,,,,,,,,,,,,,
210207584,2,Rampart,269,700 GARLAND AV,,34.0496,-118.2677,,,,,,,,,,,,,,,,
211013636,10,West Valley,1034,6200 RESEDA BL,,34.1829,-118.536,,,,,,,,,,,,,,,,
212111472,21,Topanga,2173,RIGOLETTO,VENTURA,34.1657,-118.6243,,,,,,,,,,,,,,,,
211312964,13,Newton,1363,49TH ST,CENTRAL AV,33.9993,-118.2565,,,,,,,,,,,,,,,,
211818431,18,Southeast,1802,88TH ST,FIGUEROA ST,33.9574,-118.2827,,,,,,,,,,,,,,,,
210812077,8,West LA,813,100 N CHURCH LN,,34.0731,-118.4681,,,,,,,,,,,,,,,,
211200888,12,77th Street,1267,900 W 85TH ST,,33.9612,-118.2895,,,,,,,,,,,,,,,,
210412517,4,Hollenbeck,497,MINES,CONCORD,34.0187,-118.2089,,,,,,,,,,,,,,,,
210510214,5,Harbor,567,21ST ST,PACIFIC AV,33.7252,-118.288,,,,,,,,,,,,,,,,
211007133,10,West Valley,1029,15700 SHERMAN WY,,34.2011,-118.4758,,,,,,,,,,,,,,,,
211215822,12,77th Street,1207,4600 S VERMONT AV,,34.0006,-118.2915,,,,,,,,,,,,,,,,
210700709,7,Wilshire,783,2300 HAUSER BL,,34.0362,-118.3614,,,,,,,,,,,,,,,,
210618822,6,Hollywood,668,5700 FOUNTAIN AV,,34.0947,-118.3147,,,,,,,,,,,,,,,,
211315655,13,Newton,1354,4200 S MAIN ST,,34.0065,-118.274,,,,,,,,,,,,,,,,
221207182,12,77th Street,1253,77TH ST,WESTERN AV,33.97,-118.309,,,,,,,,,,,,,,,,
210710012,7,Wilshire,782,1800 S FAIRFAX AV,,34.0427,-118.3694,,,,,,,,,,,,,,,,
210100674,1,Central,176,9TH,WALL,34.0384,-118.2519,,,,,,,,,,,,,,,,
211300529,13,Newton,1365,50TH,HOOPER,33.9976,-118.2521,,,,,,,,,,,,,,,,
212000893,20,Olympic,2044,3300 W 8TH ST,,34.0577,-118.3009,,,,,,,,,,,,,,,,
211818249,18,Southeast,1821,95TH ST,BARING CROSS,33.9501,-118.2893,,,,,,,,,,,,,,,,
211909266,19,Mission,1972,8900 BURNET AV,,34.2319,-118.4633,,,,,,,,,,,,,,,,
212000740,20,Olympic,2076,2600 W PICO BL,,34.0473,-118.2958,,,,,,,,,,,,,,,,
211206320,12,77th Street,1241,6000 CRENSHAW BL,,33.9849,-118.3309,,,,,,,,,,,,,,,,
210508110,5,Harbor,504,20300 HARVARD BL,,33.8457,-118.3066,,,,,,,,,,,,,,,,
211319884,13,Newton,1393,6900 S BROADWAY,,33.9771,-118.2783,,,,,,,,,,,,,,,,
211206020,12,77th Street,1283,96TH ST,MANHATTAN PL,33.9491,-118.3104,,,,,,,,,,,,,,,,
212000694,20,Olympic,2029,SHATTO PL,4TH ST,34.067,-118.2899,,,,,,,,,,,,,,,,
211900752,19,Mission,1918,13700 FOOTHILL BL,,34.3087,-118.4319,,,,,,,,,,,,,,,,
211913190,19,Mission,1904,14400 BLEDSOE ST,,34.3223,-118.4462,,,,,,,,,,,,,,,,
210504463,5,Harbor,564,400 W 2ND ST,,33.7424,-118.2861,,,,,,,,,,,,,,,,
212017864,20,Olympic,2023,3RD,SERRANO,34.069,-118.3067,,,,,,,,,,,,,,,,
211818228,18,Southeast,1806,92ND,COMPTON,33.9543,-118.2606,,,,,,,,,,,,,,,,
211209414,12,77th Street,1293,10500 S WESTERN AV,,33.9417,-118.3113,,,,,,,,,,,,,,,,
211116713,11,Northeast,1143,ST GEORGE,GRIFFITH PARK,34.1053,-118.2785,,,,,,,,,,,,,,,,
211221817,12,77th Street,1245,S VERMONT AV,W FLORENCE AV,33.9746,-118.2917,,,,,,,,,,,,,,,,
210319439,3,Southwest,338,1200 W JEFFERSON BL,,34.0268,-118.2896,,,,,,,,,,,,,,,,
210709261,7,Wilshire,705,800 N FORMOSA AV,,34.0853,-118.3462,,,,,,,,,,,,,,,,
211309811,13,Newton,1317,17TH ST,CENTRAL AV,34.0256,-118.2495,,,,,,,,,,,,,,,,
211813722,18,Southeast,1827,9400 GRAHAM AV,,33.9524,-118.243,,,,,,,,,,,,,,,,
211307698,13,Newton,1394,MAIN ST,71ST ST,33.9756,-118.2739,,,,,,,,,,,,,,,,
211009059,10,West Valley,1015,18100 SHERMAN WY,,34.2012,-118.5247,,,,,,,,,,,,,,,,
210207672,2,Rampart,201,900 N MARIPOSA AV,,34.0868,-118.2991,,,,,,,,,,,,,,,,
210309252,3,Southwest,373,2900 OBAMA BL,,34.0197,-118.3275,,,,,,,,,,,,,,,,
211301200,13,Newton,1322,400 E 27TH ST,,34.0242,-118.2623,,,,,,,,,,,,,,,,
210411348,4,Hollenbeck,463,4TH,ST LOUIS,34.0462,-118.2153,,,,,,,,,,,,,,,,
210308629,3,Southwest,356,1400 W 37TH PL,,34.02,-118.3029,,,,,,,,,,,,,,,,
212104158,21,Topanga,2157,DE SOTO AV,VANOWEN ST,34.1938,-118.5884,,,,,,,,,,,,,,,,
210400696,4,Hollenbeck,497,HOLABIRD,GRANDE VISTA,34.0128,-118.2059,,,,,,,,,,,,,,,,
210505645,5,Harbor,506,1600 W CARSON ST,,33.8315,-118.3069,,,,,,,,,,,,,,,,
210100662,1,Central,105,1200 N BROADWAY,,34.0714,-118.2329,,,,,,,,,,,,,,,,
212004666,20,Olympic,2027,5TH ST,CATALINA,34.0654,-118.2954,,,,,,,,,,,,,,,,
210316834,3,Southwest,363,4100 PALMYRA RD,,34.0149,-118.3436,,,,,,,,,,,,,,,,
211223039,12,77th Street,1233,WESTERN AV,SLAUSON AV,33.9892,-118.3089,,,,,,,,,,,,,,,,
211315683,13,Newton,1303,CENTRAL AV,10TH ST,34.0315,-118.2445,,,,,,,,,,,,,,,,
210122975,1,Central,158,800 E 6TH ST,,34.0407,-118.2427,,,,,,,,,,,,,,,,
212009895,20,Olympic,2004,600 N OXFORD AV,,34.0817,-118.308,,,,,,,,,,,,,,,,
211215420,12,77th Street,1211,3400 W SLAUSON AV,,33.9922,-118.3276,,,,,,,,,,,,,,,,
212015000,20,Olympic,2033,WILSHIRE,SERRANO,34.0617,-118.3066,,,,,,,,,,,,,,,,
211906618,19,Mission,1983,15000 PARTHENIA ST,,34.2281,-118.4597,,,,,,,,,,,,,,,,
210709219,7,Wilshire,738,400 S HIGHLAND AV,,34.0649,-118.3385,,,,,,,,,,,,,,,,
